datas,labels
"[[[ 26  53  51]
  [ 24  35  34]
  [ 24  29  28]
  ...
  [ 39  34  35]
  [ 37  32  33]
  [ 35  30  31]]

 [[ 31  61  58]
  [ 26  38  38]
  [ 23  30  29]
  ...
  [ 40  35  36]
  [ 39  34  35]
  [ 40  35  36]]

 [[ 42  73  72]
  [ 25  39  40]
  [ 24  30  31]
  ...
  [ 37  32  33]
  [ 39  34  35]
  [ 45  40  41]]

 ...

 [[ 93  81  83]
  [ 96  81  85]
  [ 97  82  86]
  ...
  [ 94 106 137]
  [100 111 142]
  [104 115 147]]

 [[ 96  79  80]
  [ 97  79  82]
  [ 98  80  82]
  ...
  [ 93 101 130]
  [ 96 107 135]
  [ 99 109 139]]

 [[ 94  79  77]
  [ 94  78  79]
  [ 95  79  79]
  ...
  [ 88  95 121]
  [ 90  99 126]
  [ 92 101 129]]]",[0. 1. 0.]
"[[[ 38  39  43]
  [ 34  35  39]
  [ 41  42  46]
  ...
  [ 54  63  80]
  [ 40  48  61]
  [ 42  47  56]]

 [[ 37  38  43]
  [ 33  34  38]
  [ 41  42  46]
  ...
  [ 57  69  85]
  [ 44  52  65]
  [ 45  50  59]]

 [[ 37  37  43]
  [ 33  34  39]
  [ 40  41  45]
  ...
  [ 63  76  91]
  [ 49  56  69]
  [ 48  53  61]]

 ...

 [[119 133 152]
  [119 135 158]
  [124 144 169]
  ...
  [ 82  88  95]
  [ 91  97 104]
  [ 99 104 111]]

 [[116 130 149]
  [115 131 154]
  [121 141 166]
  ...
  [ 79  84  90]
  [ 85  91  97]
  [ 90  96 102]]

 [[113 127 146]
  [112 128 151]
  [118 138 163]
  ...
  [ 77  81  86]
  [ 82  86  91]
  [ 85  89  94]]]",[0. 1. 0.]
"[[[ 60  61  65]
  [ 48  49  45]
  [ 42  47  38]
  ...
  [ 78  82  93]
  [ 86  90 101]
  [ 85  92 101]]

 [[ 58  58  61]
  [ 46  49  42]
  [ 42  48  37]
  ...
  [ 74  77  89]
  [ 83  87  98]
  [ 89  95 104]]

 [[ 55  54  55]
  [ 45  49  41]
  [ 44  50  38]
  ...
  [ 71  75  85]
  [ 78  83  93]
  [ 86  92  99]]

 ...

 [[ 78  82  81]
  [ 76  80  78]
  [ 71  77  74]
  ...
  [ 40  35  36]
  [ 39  34  35]
  [ 38  33  34]]

 [[ 79  85  84]
  [ 76  80  80]
  [ 72  77  76]
  ...
  [ 41  36  37]
  [ 40  34  35]
  [ 39  34  35]]

 [[ 76  81  82]
  [ 86  87  91]
  [ 80  81  85]
  ...
  [ 38  33  34]
  [ 37  32  33]
  [ 36  31  32]]]",[0. 1. 0.]
"[[[ 55  55  61]
  [ 54  56  64]
  [ 56  58  67]
  ...
  [147 160 188]
  [140 149 173]
  [113 120 140]]

 [[ 52  52  58]
  [ 53  55  63]
  [ 57  59  69]
  ...
  [148 161 190]
  [143 154 180]
  [118 127 146]]

 [[ 46  49  54]
  [ 52  55  61]
  [ 60  62  71]
  ...
  [148 162 191]
  [147 158 184]
  [123 131 153]]

 ...

 [[ 56  47  50]
  [ 70  59  61]
  [ 67  57  59]
  ...
  [151 157 176]
  [157 163 178]
  [165 167 180]]

 [[ 70  61  64]
  [ 80  70  73]
  [ 68  60  61]
  ...
  [159 163 180]
  [177 179 189]
  [188 189 198]]

 [[ 75  66  69]
  [ 81  72  76]
  [ 66  58  59]
  ...
  [176 177 191]
  [196 195 205]
  [204 203 207]]]",[1. 0. 0.]
"[[[28 22 23]
  [27 23 22]
  [27 23 23]
  ...
  [23 23 22]
  [25 27 26]
  [27 29 30]]

 [[28 22 23]
  [29 25 24]
  [29 25 24]
  ...
  [26 26 26]
  [23 24 24]
  [24 25 29]]

 [[29 23 24]
  [31 27 26]
  [31 27 26]
  ...
  [28 28 29]
  [25 26 28]
  [26 26 33]]

 ...

 [[32 29 25]
  [33 31 25]
  [34 31 25]
  ...
  [50 42 42]
  [51 43 43]
  [50 42 42]]

 [[32 29 25]
  [39 36 31]
  [39 36 31]
  ...
  [63 56 53]
  [63 56 54]
  [62 54 54]]

 [[33 31 27]
  [40 40 34]
  [39 39 33]
  ...
  [63 57 51]
  [62 56 51]
  [58 51 48]]]",[1. 0. 0.]
"[[[116 113 109]
  [115 112 108]
  [114 111 107]
  ...
  [174 169 164]
  [170 166 161]
  [168 164 159]]

 [[114 110 109]
  [102  99  98]
  [ 88  86  85]
  ...
  [174 169 164]
  [177 173 168]
  [180 176 171]]

 [[ 81  79  78]
  [ 69  68  67]
  [ 58  57  57]
  ...
  [162 156 153]
  [171 166 163]
  [179 174 171]]

 ...

 [[ 43  38  69]
  [ 71  64  92]
  [102  93 120]
  ...
  [ 95  92  96]
  [ 78  76  82]
  [ 61  60  68]]

 [[ 61  55  84]
  [ 96  89 113]
  [120 111 132]
  ...
  [ 95  91  92]
  [ 91  89  91]
  [ 68  68  72]]

 [[101  94 121]
  [123 115 136]
  [129 121 138]
  ...
  [ 92  86  88]
  [102  98 100]
  [ 81  80  84]]]",[0. 1. 0.]
"[[[ 32  30  29]
  [ 35  33  32]
  [ 41  37  36]
  ...
  [ 70  63  61]
  [ 66  59  56]
  [ 71  62  58]]

 [[ 37  32  33]
  [ 38  33  34]
  [ 39  35  34]
  ...
  [ 63  59  54]
  [ 55  53  43]
  [ 60  55  46]]

 [[ 36  31  32]
  [ 38  33  34]
  [ 39  35  34]
  ...
  [ 54  51  44]
  [ 54  52  41]
  [ 62  60  49]]

 ...

 [[183 175 176]
  [193 187 188]
  [200 196 197]
  ...
  [ 45  52  62]
  [ 43  49  57]
  [ 37  43  50]]

 [[165 158 151]
  [165 159 153]
  [168 166 156]
  ...
  [ 42  50  57]
  [ 37  43  50]
  [ 33  39  46]]

 [[187 183 172]
  [197 192 177]
  [200 197 183]
  ...
  [ 37  44  49]
  [ 37  42  45]
  [ 38  45  48]]]",[0. 1. 0.]
"[[[ 47  43  42]
  [ 45  41  40]
  [ 43  39  38]
  ...
  [ 58  56  55]
  [ 61  59  58]
  [ 61  60  56]]

 [[ 47  43  42]
  [ 45  41  40]
  [ 43  39  38]
  ...
  [ 56  54  54]
  [ 59  57  57]
  [ 59  58  55]]

 [[ 46  42  42]
  [ 45  40  40]
  [ 43  38  38]
  ...
  [ 54  53  53]
  [ 57  55  55]
  [ 57  55  54]]

 ...

 [[ 42  39  35]
  [ 40  38  34]
  [ 41  37  33]
  ...
  [101  95 102]
  [109 103 108]
  [107 100 103]]

 [[ 43  40  36]
  [ 43  40  36]
  [ 43  40  36]
  ...
  [121 113 118]
  [124 117 120]
  [112 104 104]]

 [[ 45  42  38]
  [ 45  42  38]
  [ 45  42  38]
  ...
  [142 133 135]
  [137 129 130]
  [114 104 104]]]",[0. 1. 0.]
"[[[ 35  30  27]
  [ 34  29  26]
  [ 32  28  26]
  ...
  [ 56  65  83]
  [ 52  59  76]
  [ 51  58  73]]

 [[ 33  28  25]
  [ 36  31  28]
  [ 35  31  29]
  ...
  [ 77  87 107]
  [ 76  84 102]
  [ 77  84 100]]

 [[ 32  27  25]
  [ 37  32  30]
  [ 36  32  30]
  ...
  [102 111 132]
  [101 109 128]
  [103 110 126]]

 ...

 [[ 44  40  42]
  [ 43  38  42]
  [ 43  38  42]
  ...
  [227 202 253]
  [228 202 252]
  [228 202 252]]

 [[ 48  43  46]
  [ 44  39  43]
  [ 43  38  43]
  ...
  [227 201 253]
  [227 201 252]
  [228 201 252]]

 [[ 49  45  50]
  [ 43  40  45]
  [ 43  39  44]
  ...
  [228 199 254]
  [228 200 253]
  [228 200 253]]]",[0. 1. 0.]
"[[[ 30  29  28]
  [ 35  33  33]
  [ 35  35  35]
  ...
  [ 57  68  76]
  [ 54  59  67]
  [ 64  65  71]]

 [[ 30  28  27]
  [ 33  32  31]
  [ 34  34  34]
  ...
  [ 62  75  84]
  [ 51  59  67]
  [ 61  61  67]]

 [[ 31  29  28]
  [ 31  30  29]
  [ 33  33  33]
  ...
  [ 69  84  95]
  [ 51  60  69]
  [ 54  58  63]]

 ...

 [[ 62  57  58]
  [ 55  49  50]
  [ 51  46  47]
  ...
  [115  78  63]
  [116  80  63]
  [117  80  62]]

 [[ 60  55  56]
  [ 56  51  52]
  [ 54  49  50]
  ...
  [110  72  57]
  [123  86  69]
  [131  93  75]]

 [[ 59  54  55]
  [ 56  51  53]
  [ 53  48  49]
  ...
  [115  76  59]
  [135  97  79]
  [139 101  83]]]",[1. 0. 0.]
"[[[ 44  36  33]
  [ 38  34  34]
  [ 42  43  46]
  ...
  [ 89 103 120]
  [ 82  93 108]
  [ 74  84  94]]

 [[ 50  39  36]
  [ 40  36  35]
  [ 44  43  46]
  ...
  [ 73  84 100]
  [ 58  68  81]
  [ 48  57  67]]

 [[ 55  43  40]
  [ 45  38  38]
  [ 47  45  49]
  ...
  [ 54  65  78]
  [ 40  49  59]
  [ 35  41  47]]

 ...

 [[ 46  43  46]
  [ 36  39  41]
  [ 28  33  37]
  ...
  [ 35  38  42]
  [ 35  38  42]
  [ 37  40  44]]

 [[ 52  52  52]
  [ 35  40  39]
  [ 32  39  37]
  ...
  [ 38  40  44]
  [ 40  43  47]
  [ 40  43  47]]

 [[ 45  47  46]
  [ 39  44  41]
  [ 36  43  39]
  ...
  [ 41  44  48]
  [ 44  47  51]
  [ 45  48  52]]]",[0. 1. 0.]
"[[[ 82  96 112]
  [ 87 100 120]
  [ 94 108 131]
  ...
  [101 118 138]
  [ 66  79  95]
  [ 44  51  63]]

 [[ 84  99 115]
  [ 92 106 125]
  [101 112 135]
  ...
  [106 125 146]
  [ 71  86 104]
  [ 46  55  69]]

 [[ 85  99 115]
  [ 94 106 124]
  [102 112 133]
  ...
  [112 133 155]
  [ 79  94 114]
  [ 53  61  75]]

 ...

 [[ 28  29  32]
  [ 29  29  31]
  [ 31  30  31]
  ...
  [ 15 173 193]
  [ 26 183 203]
  [ 37 190 210]]

 [[ 30  29  30]
  [ 30  29  30]
  [ 32  28  30]
  ...
  [ 10 163 183]
  [ 16 168 188]
  [ 27 176 196]]

 [[ 29  31  32]
  [ 30  30  32]
  [ 31  30  32]
  ...
  [ 25 173 191]
  [ 16 165 185]
  [ 20 165 186]]]",[1. 0. 0.]
"[[[ 27  22  23]
  [ 27  23  23]
  [ 27  24  25]
  ...
  [ 42  52  63]
  [ 38  44  49]
  [ 45  48  56]]

 [[ 28  23  24]
  [ 28  26  26]
  [ 29  27  28]
  ...
  [ 42  54  67]
  [ 33  41  49]
  [ 35  39  47]]

 [[ 28  23  24]
  [ 25  23  23]
  [ 26  24  25]
  ...
  [ 52  64  79]
  [ 35  43  53]
  [ 32  37  47]]

 ...

 [[175 135 116]
  [163 123 104]
  [143 102  83]
  ...
  [ 24  25  23]
  [ 30  28  27]
  [ 35  28  26]]

 [[167 128 109]
  [164 124 105]
  [142 101  83]
  ...
  [ 28  26  25]
  [ 43  38  37]
  [ 71  63  60]]

 [[155 118  98]
  [164 124 105]
  [148 108  89]
  ...
  [ 67  63  62]
  [119 112 112]
  [184 173 171]]]",[1. 0. 0.]
"[[[ 55  51  56]
  [ 56  55  60]
  [ 60  60  67]
  ...
  [156 162 178]
  [190 197 215]
  [203 210 229]]

 [[ 51  49  54]
  [ 53  52  58]
  [ 57  58  65]
  ...
  [161 167 182]
  [189 196 213]
  [198 206 223]]

 [[ 47  46  50]
  [ 49  49  55]
  [ 54  55  62]
  ...
  [167 174 188]
  [188 196 211]
  [195 203 220]]

 ...

 [[129 144 172]
  [114 128 153]
  [ 97 109 132]
  ...
  [ 48  44  41]
  [ 47  43  41]
  [ 47  42  42]]

 [[141 157 186]
  [129 143 170]
  [115 127 151]
  ...
  [ 46  41  37]
  [ 45  40  37]
  [ 44  39  38]]

 [[146 162 191]
  [139 152 179]
  [129 141 166]
  ...
  [ 45  41  37]
  [ 45  40  37]
  [ 45  40  37]]]",[0. 1. 0.]
"[[[ 51  44  41]
  [ 50  43  39]
  [ 48  42  37]
  ...
  [ 88  95 110]
  [ 78  85  99]
  [ 70  78  91]]

 [[ 50  43  40]
  [ 48  41  38]
  [ 45  40  36]
  ...
  [101 110 126]
  [ 88  97 113]
  [ 79  87 103]]

 [[ 48  42  39]
  [ 45  40  37]
  [ 42  37  35]
  ...
  [119 129 148]
  [104 114 133]
  [ 93 103 122]]

 ...

 [[ 98 100 111]
  [101 103 114]
  [104 106 117]
  ...
  [ 33  35  35]
  [ 33  35  35]
  [ 33  35  35]]

 [[ 99 100 114]
  [ 98  99 112]
  [ 96  97 110]
  ...
  [ 34  36  36]
  [ 34  36  36]
  [ 34  36  36]]

 [[ 99  99 115]
  [ 95  95 110]
  [ 90  91 105]
  ...
  [ 35  37  37]
  [ 35  37  37]
  [ 35  37  37]]]",[0. 1. 0.]
"[[[ 25  22  24]
  [ 27  24  26]
  [ 28  27  31]
  ...
  [ 37  43  54]
  [ 33  36  44]
  [ 34  34  40]]

 [[ 30  27  29]
  [ 31  28  30]
  [ 29  28  33]
  ...
  [ 41  49  62]
  [ 35  40  49]
  [ 33  36  43]]

 [[ 34  31  33]
  [ 34  31  33]
  [ 32  30  36]
  ...
  [ 51  60  76]
  [ 41  47  59]
  [ 34  39  47]]

 ...

 [[ 52  58  65]
  [ 50  56  63]
  [ 53  59  68]
  ...
  [240 236 239]
  [241 237 239]
  [240 237 236]]

 [[ 50  55  62]
  [ 48  54  61]
  [ 49  56  64]
  ...
  [228 221 226]
  [222 216 219]
  [214 209 211]]

 [[ 39  45  50]
  [ 45  51  56]
  [ 45  53  60]
  ...
  [205 197 204]
  [174 167 172]
  [147 140 145]]]",[1. 0. 0.]
"[[[144 155 185]
  [134 147 179]
  [131 143 179]
  ...
  [107 122 168]
  [103 119 165]
  [ 99 115 161]]

 [[135 147 182]
  [143 157 194]
  [154 167 207]
  ...
  [ 79  95 141]
  [ 84 103 149]
  [ 93 111 158]]

 [[140 155 193]
  [148 164 205]
  [155 170 213]
  ...
  [ 80  96 141]
  [ 80  98 145]
  [ 90 110 158]]

 ...

 [[ 20  26  46]
  [ 33  45  70]
  [ 41  55  83]
  ...
  [ 28  27  28]
  [ 34  37  39]
  [ 36  39  45]]

 [[  7   9  18]
  [ 13  19  31]
  [  7  10  23]
  ...
  [ 27  27  27]
  [ 19  21  22]
  [ 22  25  29]]

 [[  7  10  18]
  [  1   3  13]
  [ 32  34  45]
  ...
  [ 19  19  19]
  [ 30  31  32]
  [ 30  33  37]]]",[1. 0. 0.]
"[[[ 5  5  5]
  [ 6  6  6]
  [ 6  6  6]
  ...
  [10 11 14]
  [ 8  9 13]
  [ 7  8 12]]

 [[ 2  3  1]
  [ 7  5  5]
  [11  9  9]
  ...
  [10 11 15]
  [ 8  9 13]
  [ 7  8 12]]

 [[ 5  6  4]
  [ 7  6  2]
  [ 7  6  6]
  ...
  [ 8  8 12]
  [ 8  9 13]
  [ 9 10 14]]

 ...

 [[11  8 10]
  [ 9  8 10]
  [11 11 12]
  ...
  [40 39 43]
  [44 43 47]
  [44 43 47]]

 [[ 9  6  8]
  [10  9 11]
  [12 11 13]
  ...
  [35 34 38]
  [39 38 42]
  [41 40 44]]

 [[10  7  9]
  [12 11 13]
  [12 11 13]
  ...
  [35 34 38]
  [37 36 40]
  [44 43 47]]]",[1. 0. 0.]
"[[[113 136 184]
  [113 136 185]
  [116 139 189]
  ...
  [ 70  75  99]
  [ 63  67  88]
  [ 59  63  82]]

 [[117 140 190]
  [118 140 191]
  [120 143 194]
  ...
  [ 70  74  99]
  [ 61  65  88]
  [ 57  61  83]]

 [[123 146 196]
  [123 146 197]
  [126 148 200]
  ...
  [ 68  72  99]
  [ 60  64  89]
  [ 57  61  86]]

 ...

 [[ 55  77 118]
  [ 59  80 121]
  [ 63  82 124]
  ...
  [134 146 157]
  [131 143 153]
  [129 140 150]]

 [[ 63  85 126]
  [ 64  85 127]
  [ 65  84 127]
  ...
  [124 136 148]
  [119 131 141]
  [116 128 138]]

 [[ 69  91 133]
  [ 68  89 132]
  [ 67  86 131]
  ...
  [113 125 137]
  [106 117 128]
  [102 112 122]]]",[1. 0. 0.]
"[[[168 192 237]
  [169 191 233]
  [182 200 242]
  ...
  [143 134 114]
  [131 124 105]
  [114 111  98]]

 [[156 179 226]
  [156 179 225]
  [166 186 228]
  ...
  [136 129 112]
  [141 134 119]
  [113 111 101]]

 [[144 169 218]
  [148 171 219]
  [157 180 224]
  ...
  [129 124 109]
  [120 115 104]
  [107 103  97]]

 ...

 [[ 83 117 177]
  [ 89 125 185]
  [ 75 111 172]
  ...
  [129 114  99]
  [106  90  77]
  [ 90  74  61]]

 [[ 81 117 177]
  [ 73 109 171]
  [ 82 116 177]
  ...
  [114  97  84]
  [113  96  83]
  [ 91  74  61]]

 [[ 80 115 174]
  [ 80 117 177]
  [ 83 117 175]
  ...
  [106  90  78]
  [101  85  73]
  [ 86  70  58]]]",[1. 0. 0.]
"[[[102 132 191]
  [ 92 122 179]
  [ 86 117 171]
  ...
  [ 16  20  24]
  [ 18  21  24]
  [ 20  22  23]]

 [[ 82 113 172]
  [ 85 116 174]
  [ 88 118 173]
  ...
  [ 11  15  19]
  [ 17  20  23]
  [ 24  26  27]]

 [[ 74 105 164]
  [ 83 113 171]
  [ 89 118 176]
  ...
  [ 16  18  23]
  [ 22  23  26]
  [ 28  28  30]]

 ...

 [[115 131 181]
  [115 131 181]
  [116 132 182]
  ...
  [106 129 177]
  [106 130 179]
  [105 132 181]]

 [[130 143 192]
  [130 143 191]
  [133 147 194]
  ...
  [112 135 182]
  [111 135 182]
  [111 137 184]]

 [[145 155 202]
  [146 157 202]
  [149 162 206]
  ...
  [118 142 187]
  [115 138 184]
  [113 137 183]]]",[1. 0. 0.]
"[[[ 25  37  61]
  [  7  21  40]
  [  3  15  35]
  ...
  [ 48  60  88]
  [ 48  60  88]
  [ 49  63  92]]

 [[ 20  31  53]
  [  6  17  39]
  [  2  13  37]
  ...
  [ 71  83 111]
  [ 57  69  97]
  [ 31  44  71]]

 [[ 12  20  43]
  [ 11  21  45]
  [ 23  36  65]
  ...
  [ 79  90 119]
  [ 71  83 111]
  [ 72  84 112]]

 ...

 [[ 29  16   8]
  [ 28  16  11]
  [ 25  13  13]
  ...
  [ 28  19  10]
  [ 35  24  14]
  [ 43  29  17]]

 [[ 27  14   6]
  [ 25  13   7]
  [ 24  10   9]
  ...
  [ 26  17   8]
  [ 35  24  15]
  [ 43  28  19]]

 [[ 31  16   7]
  [ 30  16   9]
  [ 24   9   6]
  ...
  [ 32  22  14]
  [ 35  23  15]
  [ 35  20  11]]]",[1. 0. 0.]
